name,code,codename
작물재배업,A,"농업, 임업 및 어업"
축산업,A,"농업, 임업 및 어업"
작물재배및축산복합농업,A,"농업, 임업 및 어업"
작물재배및축산관련서비스업,A,"농업, 임업 및 어업"
수렵및관련서비스업,A,"농업, 임업 및 어업"
임업,A,"농업, 임업 및 어업"
어로어업,A,"농업, 임업 및 어업"
양식어업및어업관련서비스업,A,"농업, 임업 및 어업"
석탄광업,B,광업
원유및천연가스채굴업,B,광업
철광업,B,광업
비철금속광업,B,광업
토사석광업,B,광업
기타비금속광물광업,B,광업
광업지원서비스업,B,광업
"도축,육류가공및저장처리업",C,제조업
수산물가공및저장처리업,C,제조업
"과실,채소가공및저장처리업",C,제조업
동물성및식물성유지제조업,C,제조업
낙농제품및식용빙과류제조업,C,제조업
"곡물가공품,전분및전분제품제조업",C,제조업
기타식품제조업,C,제조업
동물용사료및조제식품제조업,C,제조업
알코올음료제조업,C,제조업
비알코올음료및얼음제조업,C,제조업
담배제조업,C,제조업
방적및가공사제조업,C,제조업
직물직조및직물제품제조업,C,제조업
편조원단제조업,C,제조업
"섬유제품염색,정리및마무리가공업",C,제조업
기타섬유제품제조업,C,제조업
봉제의복제조업,C,제조업
모피제품제조업,C,제조업
편조의복제조업,C,제조업
의복액세서리제조업,C,제조업
"가죽,가방및유사제품제조업",C,제조업
신발및신발부분품제조업,C,제조업
제재및목재가공업,C,제조업
나무제품제조업,C,제조업
코르크및조물제품제조업,C,제조업
"펄프,종이및판지제조업",C,제조업
"골판지,종이상자및종이용기제조업",C,제조업
기타종이및판지제품제조업,C,제조업
인쇄및인쇄관련산업,C,제조업
기록매체복제업,C,제조업
코크스및연탄제조업,C,제조업
석유정제품제조업,C,제조업
기초화학물질제조업,C,제조업
합성고무및플라스틱물질제조업,C,제조업
"비료,농약및살균ㆍ살충제제조업",C,제조업
기타화학제품제조업,C,제조업
화학섬유제조업,C,제조업
기초의약물질및생물학적제제제조업,C,제조업
의약품제조업,C,제조업
의료용품및기타의약관련제품제조업,C,제조업
고무제품제조업,C,제조업
플라스틱제품제조업,C,제조업
유리및유리제품제조업,C,제조업
"내화,비내화요업제품제조업",C,제조업
"시멘트,석회,플라스터및그제품제조업",C,제조업
기타비금속광물제품제조업,C,제조업
1차철강제조업,C,제조업
1차비철금속제조업,C,제조업
금속주조업,C,제조업
"구조용금속제품,탱크및증기발생기제조업",C,제조업
무기및총포탄제조업,C,제조업
기타금속가공제품제조업,C,제조업
반도체제조업,C,제조업
전자부품제조업,C,제조업
컴퓨터및주변장치제조업,C,제조업
통신및방송장비제조업,C,제조업
영상및음향기기제조업,C,제조업
마그네틱및광학매체제조업,C,제조업
의료용기기제조업,C,제조업
"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",C,제조업
사진장비및광학기기제조업,C,제조업
시계및시계부품제조업,C,제조업
"전동기,발전기및전기변환ㆍ공급ㆍ제어장치제조업",C,제조업
일차전지및축전지제조업,C,제조업
절연선및케이블제조업,C,제조업
전구및조명장치제조업,C,제조업
가정용기기제조업,C,제조업
기타전기장비제조업,C,제조업
일반목적용기계제조업,C,제조업
특수목적용기계제조업,C,제조업
자동차용엔진및자동차제조업,C,제조업
자동차차체및트레일러제조업,C,제조업
자동차신품부품제조업,C,제조업
자동차재제조부품제조업,C,제조업
선박및보트건조업,C,제조업
철도장비제조업,C,제조업
"항공기,우주선및부품제조업",C,제조업
그외기타운송장비제조업,C,제조업
가구제조업,C,제조업
귀금속및장신용품제조업,C,제조업
악기제조업,C,제조업
운동및경기용구제조업,C,제조업
"인형,장난감및오락용품제조업",C,제조업
그외기타제품제조업,C,제조업
산업용기계및장비수리업,C,제조업
전기업,D,"전기, 가스, 증기 및 공기 조절 공급업"
연료용가스제조및배관공급업,D,"전기, 가스, 증기 및 공기 조절 공급업"
"증기,냉ㆍ온수및공기조절공급업",D,"전기, 가스, 증기 및 공기 조절 공급업"
수도업,E,"수도, 하수 및 폐기물 처리, 원료 재생업"
"하수,폐수및분뇨처리업",E,"수도, 하수 및 폐기물 처리, 원료 재생업"
"폐기물수집,운반업",E,"수도, 하수 및 폐기물 처리, 원료 재생업"
폐기물처리업,E,"수도, 하수 및 폐기물 처리, 원료 재생업"
"해체,선별및원료재생업",E,"수도, 하수 및 폐기물 처리, 원료 재생업"
환경정화및복원업,E,"수도, 하수 및 폐기물 처리, 원료 재생업"
건물건설업,F,건설업
토목건설업,F,건설업
기반조성및시설물축조관련전문공사업,F,건설업
건물설비설치공사업,F,건설업
전기및통신공사업,F,건설업
실내건축및건축마무리공사업,F,건설업
시설물유지관리공사업,F,건설업
건설장비운영업,F,건설업
자동차판매업,G,도매 및 소매업
자동차부품및내장품판매업,G,도매 및 소매업
모터사이클및부품판매업,G,도매 및 소매업
상품중개업,G,도매 및 소매업
산업용농ㆍ축산물및동ㆍ식물도매업,G,도매 및 소매업
음ㆍ식료품및담배도매업,G,도매 및 소매업
생활용품도매업,G,도매 및 소매업
기계장비및관련물품도매업,G,도매 및 소매업
"건축자재,철물및난방장치도매업",G,도매 및 소매업
기타전문도매업,G,도매 및 소매업
상품종합도매업,G,도매 및 소매업
종합소매업,G,도매 및 소매업
음ㆍ식료품및담배소매업,G,도매 및 소매업
가전제품및정보통신장비소매업,G,도매 및 소매업
"섬유,의복,신발및가죽제품소매업",G,도매 및 소매업
기타생활용품소매업,G,도매 및 소매업
"문화,오락및여가용품소매업",G,도매 및 소매업
연료소매업,G,도매 및 소매업
기타상품전문소매업,G,도매 및 소매업
무점포소매업,G,도매 및 소매업
철도운송업,H,운수 및 창고업
육상여객운송업,H,운수 및 창고업
도로화물운송업,H,운수 및 창고업
소화물전문운송업,H,운수 및 창고업
파이프라인운송업,H,운수 및 창고업
해상운송업,H,운수 및 창고업
내륙수상및항만내운송업,H,운수 및 창고업
항공여객운송업,H,운수 및 창고업
항공화물운송업,H,운수 및 창고업
보관및창고업,H,운수 및 창고업
기타운송관련서비스업,H,운수 및 창고업
일반및생활숙박시설운영업,I,숙박 및 음식점업
기타숙박업,I,숙박 및 음식점업
음식점업,I,숙박 및 음식점업
주점및비알코올음료점업,I,숙박 및 음식점업
"서적,잡지및기타인쇄물출판업",J,정보통신업
소프트웨어개발및공급업,J,정보통신업
"영화,비디오물,방송프로그램제작및배급업",J,정보통신업
오디오물출판및원판녹음업,J,정보통신업
라디오방송업,J,정보통신업
텔레비전방송업,J,정보통신업
공영우편업,J,정보통신업
전기통신업,J,정보통신업
"컴퓨터프로그래밍,시스템통합및관리업",J,정보통신업
"자료처리,호스팅,포털및기타인터넷정보매개서비스업",J,정보통신업
기타정보서비스업,J,정보통신업
은행및저축기관,K,금융 및 보험업
신탁업및집합투자업,K,금융 및 보험업
기타금융업,K,금융 및 보험업
보험업,K,금융 및 보험업
재보험업,K,금융 및 보험업
연금및공제업,K,금융 및 보험업
금융지원서비스업,K,금융 및 보험업
보험및연금관련서비스업,K,금융 및 보험업
부동산임대및공급업,L,부동산업
부동산관련서비스업,L,부동산업
자연과학및공학연구개발업,M,"전문, 과학 및 기술 서비스업"
인문및사회과학연구개발업,M,"전문, 과학 및 기술 서비스업"
법무관련서비스업,M,"전문, 과학 및 기술 서비스업"
회계및세무관련서비스업,M,"전문, 과학 및 기술 서비스업"
광고업,M,"전문, 과학 및 기술 서비스업"
시장조사및여론조사업,M,"전문, 과학 및 기술 서비스업"
회사본부및경영컨설팅서비스업,M,"전문, 과학 및 기술 서비스업"
기타전문서비스업,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",M,"전문, 과학 및 기술 서비스업"
기타과학기술서비스업,M,"전문, 과학 및 기술 서비스업"
수의업,M,"전문, 과학 및 기술 서비스업"
전문디자인업,M,"전문, 과학 및 기술 서비스업"
사진촬영및처리업,M,"전문, 과학 및 기술 서비스업"
"그외기타전문,과학및기술서비스업",M,"전문, 과학 및 기술 서비스업"
사업시설유지ㆍ관리서비스업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
건물ㆍ산업설비청소및방제서비스업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
조경관리및유지서비스업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
고용알선및인력공급업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
여행사및기타여행보조서비스업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
"경비,경호및탐정업",N,"사업시설 관리, 사업 지원 및 임대 서비스업"
기타사업지원서비스업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
운송장비임대업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
개인및가정용품임대업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
산업용기계및장비임대업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
무형재산권임대업,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
입법및일반정부행정,O,"공공 행정, 국방 및 사회보장 행정"
사회및산업정책행정,O,"공공 행정, 국방 및 사회보장 행정"
외무및국방행정,O,"공공 행정, 국방 및 사회보장 행정"
사법및공공질서행정,O,"공공 행정, 국방 및 사회보장 행정"
사회보장행정,O,"공공 행정, 국방 및 사회보장 행정"
초등교육기관,P,교육 서비스업
중등교육기관,P,교육 서비스업
고등교육기관,P,교육 서비스업
"특수학교,외국인학교및대안학교",P,교육 서비스업
일반교습학원,P,교육 서비스업
기타교육기관,P,교육 서비스업
교육지원서비스업,P,교육 서비스업
병원,Q,보건업 및 사회복지 서비스업
의원,Q,보건업 및 사회복지 서비스업
공중보건의료업,Q,보건업 및 사회복지 서비스업
기타보건업,Q,보건업 및 사회복지 서비스업
거주복지시설운영업,Q,보건업 및 사회복지 서비스업
비거주복지시설운영업,Q,보건업 및 사회복지 서비스업
창작및예술관련서비스업,R,"예술, 스포츠 및 여가관련 서비스업"
"도서관,사적지및유사여가관련서비스업",R,"예술, 스포츠 및 여가관련 서비스업"
스포츠서비스업,R,"예술, 스포츠 및 여가관련 서비스업"
유원지및기타오락관련서비스업,R,"예술, 스포츠 및 여가관련 서비스업"
산업및전문가단체,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
노동조합,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
기타협회및단체,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
컴퓨터및통신장비수리업,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
자동차및모터사이클수리업,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
개인및가정용품수리업,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
"미용,욕탕및유사서비스업",S,"협회 및 단체, 수리 및 기타 개인 서비스업"
그외기타개인서비스업,S,"협회 및 단체, 수리 및 기타 개인 서비스업"
가구내고용활동,T,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동
자가소비를위한가사생산활동,T,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동
자가소비를위한가사서비스활동,T,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동
국제및외국기관,U,국제 및 외국기관
